                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.79894,                0.67716,                  1.022,                0.91454,                0.81405,                0.89169,                0.74717,                 0.7085,                0.51867,                0.91712,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.83633,                0.68498,                 1.0372,                 0.9263,                0.81197,                0.89081,                0.74658,                 0.7082,                0.51829,                0.91649,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.83089,                0.67569,                 1.0083,                0.92733,                0.81274,                0.89131,                0.74679,                  0.707,                0.51686,                0.91574,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.87697,                0.70848,                 1.0313,                0.93001,                0.81255,                0.89295,                0.74775,                0.70602,                0.51554,                0.91542,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.88754,                0.75281,                 1.0373,                0.92599,                0.81034,                0.89287,                0.74334,                0.71082,                0.52193,                0.91575,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.87712,                0.77804,                0.99615,                0.92439,                0.80589,                0.89054,                0.73994,                 0.7185,                0.53043,                0.91823,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.86459,                0.74363,                 1.0152,                0.91842,                0.79637,                0.88351,                0.73377,                0.72542,                0.53608,                 0.9209,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.84431,                0.69951,                 1.0152,                0.86222,                0.82619,                 0.8814,                0.73214,                0.72852,                0.53864,                0.92217,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.85609,                0.73733,                 1.0065,                0.91736,                0.78965,                0.88111,                0.73113,                0.73318,                0.54193,                 0.9234,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.81235,                0.66433,                0.99843,                0.91423,                0.79006,                  0.882,                0.72918,                0.73414,                0.54199,                0.92379,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.80237,                0.65543,                0.99363,                0.91299,                0.79058,                 0.8834,                0.73038,                0.73565,                0.54176,                0.92445,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.82823,                0.69737,                  1.001,                0.91539,                0.79293,                0.88464,                0.73065,                0.73889,                 0.5432,                0.92558,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.84193,                0.67268,                  1.016,                0.89403,                0.80224,                0.88401,                0.72951,                0.73965,                0.54402,                0.92599,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.82763,                0.72104,                 1.0116,                0.88265,                0.80944,                0.87839,                0.72808,                0.74398,                0.54821,                0.92726,             3.5462e-06,             3.5462e-06,             3.5462e-06
